GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist
2470,453857.7242,6071976.651,43.3345,3.1045,20160926,3.14501913677127,0.0405191367712683,6.62082089202737,7.86029475558418,18.0038364887927
2471,453857.7151,6071977.577,43.3231,3.0931,20160926,3.14485213805613,0.0517521380561314,6.81908860382675,7.43483954192414,18.0532386032625
2472,453857.7062,6071978.416,43.2986,3.0686,20160926,3.11788420436159,0.0492842043615918,7.09957081462934,7.1323671694492,18.1229615874655
2473,453857.7609,6071979.367,43.3225,3.0925,20160926,3.14212874435783,0.0496287443578329,7.46205684232261,6.83417045527767,18.203911558928
2474,453857.7455,6071980.387,43.2837,3.0537,20160926,3.10227407590506,0.0485740759050568,8.02019571837917,6.72650944027479,18.3577792697109
2475,453857.7897,6071981.28,43.243,3.013,20160926,3.07539369177539,0.0623936917753927,8.53494304234096,6.70097202577232,18.499230731887
2476,453857.7976,6071982.14,43.2118,2.9818,20160926,3.03586121862325,0.0540612186232483,9.11107623347995,6.82239978007057,18.676612634048
2477,453857.8053,6071983.064,43.1787,2.9487,20160926,3.01540727734839,0.0667072773483852,9.77719293405065,7.0688403639334,18.8953023295911
2478,453857.817,6071983.925,43.1517,2.9217,20160926,2.97289076272473,0.0511907627247261,10.4305276363685,7.39156715443512,19.121446581375
2479,453857.8358,6071984.74,43.1098,2.8798,20160926,2.93217875917304,0.0523787591730431,11.0706591742732,7.76636392664245,19.3523855076464
2480,453857.8613,6071985.619,43.0515,2.8215,20160926,2.88886560150861,0.0673656015086119,11.7824706915701,8.23798996652954,19.6194479461112
2481,453857.8559,6071986.456,43.0171,2.7871,20160926,2.84883428715789,0.0617342871578903,12.4953815997401,8.76817237577032,19.9014940279811
2482,453857.8492,6071987.3,42.9848,2.7548,20160926,2.80809802091185,0.0532980209118481,13.2295964643839,8.9654027372429,20.2017072258923
2483,453857.8453,6071988.12,42.9656,2.7356,20160926,2.78602941133603,0.05042941133603,13.9536289306416,8.19352808539945,20.5064811255666
2484,453857.822,6071989.046,42.9267,2.6967,20160926,2.75529810975103,0.0585981097510291,14.7915552521256,7.32693059861737,20.8722691314277
2485,453857.8341,6071989.879,42.9146,2.6846,20160926,2.73601059735675,0.0514105973567514,15.5401467660269,6.57592249129823,21.205753642397
2486,453857.8805,6071990.643,42.9215,2.6915,20160926,2.72364754146928,0.0321475414692776,16.2200045220259,5.92409497283621,21.5148529262458
2487,453857.8759,6071991.393,42.9131,2.6831,20160926,2.72280630648175,0.039706306481754,16.9134550478335,5.28551312620989,21.844734441575
2488,453857.8634,6071992.205,42.8833,2.6533,20160926,2.7026355121675,0.0493355121674965,17.6721709966786,4.627164980666,22.2189025580905
2489,453857.819,6071992.966,42.8916,2.6616,20160926,2.70520573356978,0.0436057335697813,18.3988295580565,4.03745526281048,22.5932362054508
2490,453857.7938,6071993.656,42.8892,2.6592,20160926,2.70000991151023,0.0408099115102298,19.0549662650269,3.5720006771358,22.9455624750039
2491,453857.7472,6071994.374,42.8818,2.6518,20160926,2.69993410383574,0.048134103835737,19.7469488733434,3.15754611049163,23.3369453885086
2492,453857.7483,6071995.114,42.8768,2.6468,20160926,2.70271539370397,0.0559153937039669,20.4463695505588,2.90772888858068,23.7604721965755
2493,453857.744,6071995.858,42.8908,2.6608,20160926,2.70912661661082,0.0483266166108196,21.1540251513839,2.82930733571061,24.2237441111883
2494,453857.6963,6071996.591,42.9092,2.6792,20160926,2.71622867262084,0.0370286726208384,21.8666308850282,2.89841837734489,24.7248143242868
2495,453857.6547,6071997.418,42.8897,2.6597,20160926,2.71456001519632,0.0548600151963208,22.6687282699542,3.19527677815202,25.3299913301375
2496,453857.6232,6071998.098,42.8893,2.6593,20160926,2.71568245216596,0.0563824521659626,23.3288380955513,3.56920268986472,25.8539902713592
2497,453857.5474,6071998.817,42.8847,2.6547,20160926,2.71053540613017,0.0558354061301705,24.0399282636651,4.02446157383917,26.436186940027
2498,453857.4637,6071999.574,42.8754,2.6454,20160926,2.71896763981256,0.0735676398125622,24.790414686488,4.57667775696013,27.0677909360986
2499,453857.4106,6072000.014,42.8757,2.6457,20160926,2.71885431237444,0.0731543123744354,25.2281469147341,4.92113738525552,27.4425418711653
2500,453857.4086,6072000.023,42.8754,2.6454,20160926,2.71683401094828,0.0714340109482827,25.2373513929711,4.9278855264081,27.4504470578575
2501,453857.4081,6072000.024,42.8779,2.6479,20160926,2.71659405843097,0.0686940584309652,25.2384497673145,4.92849534976531,27.4513847110751
2502,453857.4018,6072000.067,42.8772,2.6472,20160926,2.71531756738553,0.0681175673855265,25.2815406796039,4.96248190315996,27.4884865714539
2503,453857.3753,6072000.637,42.8941,2.6641,20160926,2.73633916556247,0.0722391655624652,25.8375639718336,5.45127338262487,27.9713622523857
2504,453857.3069,6072001.404,42.9084,2.6784,20160926,2.72682819947192,0.0484281994719229,26.5953008152061,6.11848239455068,28.6368386367399
2505,453857.258,6072002.046,42.8724,2.6424,20160926,2.73028833670202,0.0878883367020191,27.2279222387893,6.69686792481117,29.1985062575921
2506,453857.2179,6072002.757,42.8931,2.6631,20160926,2.73870718936527,0.0756071893652743,27.9255762565084,7.35452028445838,29.8232526558141
2507,453857.1991,6072003.49,42.9162,2.6862,20160926,2.74200240816933,0.0558024081693334,28.6399803164157,8.04860668782448,30.4678828900561
2508,453857.1932,6072004.175,42.9234,2.6934,20160926,2.74781626798242,0.0544162679824223,29.3056183555097,8.70609262750286,31.0723692568485
2509,453857.1779,6072004.975,42.9293,2.6993,20160926,2.75470670829674,0.0554067082967356,30.0860923333396,9.47688770669259,31.7855728059368
2510,453857.1944,6072005.762,42.9323,2.7023,20160926,2.75064780304611,0.0483478030461124,30.8476023790363,10.2465216812461,32.4852205289494
2511,453857.1938,6072006.464,42.9254,2.6954,20160926,2.75013065810778,0.0547306581077818,31.5313691106012,10.9319365546903,33.1167931016641
2512,453857.1731,6072007.278,42.9166,2.6866,20160926,2.75120340993902,0.0646034099390209,32.3295983371318,11.7252947259822,33.8579096423544
2513,453857.1594,6072008.066,42.9119,2.6819,20160926,2.74273722409399,0.0608372240939934,33.1017107942263,12.4970108247547,34.5780563857993
2514,453857.1638,6072008.832,42.9161,2.6861,20160926,2.74677135672038,0.0606713567203818,33.8492436651264,13.2520264432808,35.2779072772097
2515,453857.1586,6072009.681,42.9209,2.6909,20160926,2.75800407281647,0.0671040728164676,34.6807862653725,14.0886314367143,36.0596683980444
2516,453857.1767,6072010.501,42.9247,2.6947,20160926,2.75083166634411,0.0561316663441058,35.4800730439148,14.9014833321475,36.8135814423533
2517,453857.1839,6072011.261,42.9386,2.7086,20160926,2.76144618951183,0.0528461895118322,36.2235854847696,15.6541525293368,37.5173690420833
